title,pdl count,top related titles,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,desired_education,desired_experience
executive director,1340715, nonprofits, program development, grant writing, volunteer management, non profits, community outreach, community development, grants, board development,director, board member, director of development, program director, interim executive director, development director, managing director, associate executive director, vice president, ceo,MBA,10
marketing manager,1085071, digital marketing, marketing management, market research, email marketing, marketing, brand management, product marketing, direct marketing, marketing strategy,marketing coordinator, marketing director, marketing executive, marketing assistant, director of marketing, brand manager, marketing specialist, senior marketing manager, marketing consultant, marketing,B.Sc. Business Management,5
business development manager,1052891, new business development, crm, account management, business strategy, sales management, sales, key account management, strategy, team management,sales manager, business development, business development executive, account manager, senior business development manager, business development director, director of business development, marketing manager, sales executive, key account manager,B.Sc. Business Management,5
software developer,980615, javascript, sql, software development, java, microsoft sql server, jquery, asp.net, mysql, html,senior software developer, software engineer, web developer, developer, junior software developer, senior software engineer, senior developer, java developer, programmer, net developer,B.Sc. Computer Science,2
sales executive,948836, sales management, business development, account management, sales operations, direct sales, sales process, negotiation, new business development, team management,marketing director, sales manager, senior sales executive, business development manager, sales representative, sales officer, business development executive, sales consultant, account manager, sr sales executive,B.Sc. Marketing,3
registered nurse,916982, bls, patient safety, healthcare, hospitals, acls, acute care, inpatient, critical care, patient education,rn, nurse practitioner, staff nurse, family nurse practitioner, student nurse, staff registered nurse, nurse, critical care registered nurse, certified nursing assistant, nursing student,B.Sc. Nursing,5
store manager,898427, merchandising, visual merchandising, retail, inventory management, loss prevention, retail sales, store operations, inventory control, driving results,assistant store manager, assistant manager, district manager, department manager, area manager, retail store manager, co-manager, co manager, store director, general manager,B.Sc. Business Management,5
project engineer,895812, project engineering, autocad, civil engineering, commissioning, manufacturing, cad, epc, construction, mechanical engineering,project manager, senior project engineer, site engineer, design engineer, mechanical engineer, engineer, civil engineer, field engineer, process engineer, engineering manager,B.Sc. Computer Science,2
branch manager,844240, loans, retail banking, credit, mortgage lending, credit analysis, consumer lending, commercial banking, relationship management, loan origination,assistant branch manager, area manager, personal banker, relationship manager, regional manager, sales manager, loan officer, senior branch manager, manager, branch sales manager,B.Sc. Business Management,5
senior software engineer,801695, software development, xml, web services, javascript, sql, java, c#, microsoft sql server, requirements analysis,software engineer, technical lead, principal software engineer, software developer, lead software engineer, senior software developer, team lead, staff software engineer, sr software engineer, software architect,B.Sc. Computer Science,2
product manager,701434, product marketing, competitive analysis, product launch, product development, market analysis, cross functional team leadership, market research, mobile devices, go to market strategy,senior product manager, marketing manager, associate product manager, product marketing manager, product specialist, assistant product manager, product owner, sr product manager, junior product manager, group product manager,B.Sc. Business Management,5
marketing,698933, marketing, marketing digital, digital marketing, marketing strategy, market research, social media marketing, marketing social, publicidade, email marketing,marketing manager, marketing executive, gerente de marketing, analista de marketing, marketing assistant, marketing coordinator, marketing director, marketing specialist, trade marketing, online marketing,B.Sc. Marketing,3
manager or supervisor,659165, enterprise software, process improvement, saas, go to market strategy, cloud computing, strategic partnerships, data center, program management, cross functional team,farm service agency manager, information technology manager, natural resources conservation officer, professor, consumer safety officer, manager of health and human services, officer manager, human resources manager, business manager, marketing manager,B.Sc. Business Management,5
marketing director,649244, digital marketing, email marketing, marketing management, marketing, direct marketing, marketing strategy, integrated marketing, advertising, brand management,sales executive, marketing manager, marketing executive, director of marketing, marketing consultant, chief marketing officer, marketing, marketing coordinator, head of marketing, senior marketing director,MBA,10
senior manager,642915, us gaap, business transformation, ifrs, sarbanes oxley act, assurance, big 4, internal audit, risk management, internal controls,manager, director, sr manager, consultant, audit manager, chief manager, associate director, senior consultant, assistant manager, partner,B.Sc. Business Management,5
sales assistant,611899, time management, retail, communication, customer service, sales, fashion, social media, microsoft office, microsoft word,sales advisor, waitress, work experience, bar staff, customer service assistant, marketing assistant, retail assistant, shop assistant, senior sales assistant, customer assistant,B.Sc. Marketing,3
program manager,589488, dod, program manager, security clearance, government contracting, defense, cross functional team leadership, systems engineering, military, earned value management,senior program manager, project manager, program director, program coordinator, sr program manager, technical program manager, deputy program manager, program officer, assistant program manager, associate program manager,B.Sc. Business Management,5
sales consultant,561620, customer satisfaction, sales process, customer retention, sales management, direct sales, sales operations, account management, selling, customer service,senior sales consultant, sales representative, sales manager, sales and leasing consultant, sales, sales assistant, internet sales manager, sales associate, sales executive, retail sales consultant,B.Sc. Marketing,3
business manager,533375, management, forecasting, business strategy, leadership, sales, sales management, recruiting, team management, budgets,senior business manager, manager, business development manager, assistant business manager, sales manager, manager or supervisor, business executive, business director, finance manager, associate business manager,B.Sc. Business Management,5
senior project manager,515307, program management, project portfolio management, pmo, project management, pmp, software project management, sdlc, project planning, vendor management,project manager, sr project manager, program manager, project director, programme manager, senior it project manager, senior program manager, it project manager, principal project manager, project executive,B.Sc. Business Management,5
production manager,514181, continuous improvement, 5s, manufacturing, production management, production planning, kaizen, production managment, manufacturing operations management, value stream mapping,plant manager, production supervisor, production coordinator, manufacturing manager, factory manager, production engineer, assistant production manager, operations manager, producer, production director,B.Sc. Business Management,5
web developer,505105, php, css, jquery, html5, wordpress, html 5, javascript, mysql, html,senior web developer, php developer, developer, freelance web developer, frontend developer, full stack developer, front end developer, software developer, web designer, web application developer,B.Sc. Computer Science,2
summer intern,478769, matlab, powerpoint, microsoft excel, research, market research, microsoft word, data analysis, microsoft office, public speaking,intern, winter intern, management trainee, summer analyst, summer trainee, summer internship, analyst, summer research intern, research assistant, spring intern,Enrolled in Bachelor's program,0
finance manager,461660, finance, forecasting, financial analysis, financial reporting, financial audits, variance analysis, internal controls, accounting, ifrs,financial controller, finance director, management accountant, senior finance manager, accountant, head of finance, financial analyst, financial accountant, finance controller, finance,B.Sc. Business Management,5
regional sales manager,461513, sales management, key account management, direct sales, selling, sales process, business development, account management, key account development, forecasting,sales manager, district sales manager, national sales manager, area sales manager, regional manager, regional sales director, territory sales manager, sales representative, business development manager, territory manager,B.Sc. Business Management,5
key account manager,447011, fmcg, trade marketing, key account development, b2b, sales management, key account, business development, account management, shopper marketing,sales manager, account manager, senior key account manager, business development manager, national key account manager, key account executive, area sales manager, national account manager, salgskonsulent, sales representative,B.Sc. Business Management,5
marketing intern,432366, social media, market research, marketing, social media marketing, event planning, social networking, teamwork, marketing communications, google analytics,marketing assistant, intern, marketing coordinator, public relations intern, marketing associate, digital marketing intern, sales associate, sales intern, social media marketing intern, social media intern,Enrolled in Bachelor's program,0
director of operations,423661, leadership, operations, process improvement, team building, budgets, training, management, cross functional team leadership, strategic planning,operations manager, vice president of operations, general manager, vp of operations, senior director of operations, director operations, operations director, regional director of operations, plant manager, director operations,MBA,10
english teacher,421494, language teaching, esl, english teaching, translation, teaching, literature, teaching english as a foreign language, foreign languages, english,teacher, english language teacher, english instructor, esl teacher, english tutor, teacher of english, translator, high school english teacher, english language instructor, english second language teacher,B.Ed,3
human resources manager,413347, human resources, performance management, onboarding, recruiting, hris, succession planning, employee benefits, talent management, personnel management,hr manager, human resources generalist, director of human resources, human resources director, human resources, human resources business partner, human resource manager, human resources coordinator, human resources consultant, human resources specialist,B.Sc. Business Management,5
site manager,399345, smsts, construction safety, refurbishments, commercial management, cscs, construction site management, subcontracting, construction, construction management,senior site manager, site supervisor, assistant site manager, site engineer, project manager, construction site manager, construction manager, site foreman, manager, contracts manager,B.Sc. Business Management,5
mechanical engineer,391299, solidworks, cad, finite element analysis, engineering, autocad, pro engineer, ansys, piping, design for manufacturing,senior mechanical engineer, mechanical design engineer, mechanical engineering intern, mechanical designer, design engineer, sr mechanical engineer, mechanical project engineer, lead mechanical engineer, maintenance engineer, project engineer,B.Sc. Computer Science,2
design engineer,387347, solidworks, catia, product design, pro engineer, design for manufacturing, mechanical engineering, engineering, autocad, ptc creo,senior design engineer, mechanical design engineer, mechanical engineer, sr design engineer, product engineer, project engineer, engineer, product design engineer, lead design engineer, cad engineer,B.Sc. Computer Science,2
marketing executive,384781, marketing communications, digital marketing, marketing, email marketing, marketing management, direct marketing, marketing strategy, brand management, social media marketing,marketing manager, marketing director, senior marketing executive, marketing assistant, digital marketing executive, marketing officer, marketing, assistant marketing manager, sales and marketing executive, sr marketing executive,B.Sc. Marketing,3
developer,384014, jquery, php, css, web development, sql, c#, mysql, microsoft sql server, html,senior developer, web developer, lead developer, software developer, junior developer, sr developer, programmer, software engineer, freelance developer, associate developer,B.Sc. Computer Science,2
senior engineer,381435, engineering management, semiconductors, electronics, project engineering, manufacturing, civil engineering, embedded systems, systems engineering, asic,engineer, principal engineer, staff engineer, design engineer, lead engineer, sr engineer, project engineer, junior engineer, engineering manager, assistant engineer,B.Sc. Computer Science,2
marketing assistant,376626, digital marketing, marketing, social media marketing, market research, social media, email marketing, google analytics, public relations, advertising,marketing coordinator, marketing manager, marketing executive, marketing intern, sales assistant, marketing specialist, marketing associate, marketing officer, marketing trainee, sales and marketing assistant,B.Sc. Marketing,3
nurse,372954, healthcare, hospitals, healthcare management, patient safety, clinical research, critical care, bls, pediatrics, home care,nursing director, staff nurse, nursing, school nurse, registered nurse, licensed practical nurse, pediatric nurse, head nurse, company nurse, charge nurse,B.Sc. Nursing,5
marketing coordinator,369129, email marketing, social media marketing, marketing, digital marketing, advertising, social media, event planning, press releases, public relations,marketing manager, marketing assistant, marketing specialist, marketing intern, marketing chief operating officerrdinator, senior marketing coordinator, marketing associate, digital marketing coordinator, sales and marketing coordinator, marketing communications specialist,B.Sc. Marketing,3
hr manager,364762, human resources, performance management, talent management, hr policies, recruiting, employee engagement, personnel management, hr consulting, succession planning,human resources manager, hr business partner, hr generalist, hr director, hr consultant, hr specialist, hr officer, hr advisor, hr executive, hr assistant,B.Sc. Business Management,5
system engineer,364634, windows server, vmware, active directory, servers, troubleshooting, vmware esx, networking, data center, microsoft exchange,senior system engineer, system administrator, assistant system engineer, systems engineer, it analyst, technical support engineer, system engineer trainee, associate system engineer, sr system engineer, support engineer,B.Sc. Computer Science,2
it manager,358244, windows server, disaster recovery, active directory, it operations, network administration, microsoft exchange, servers, virtualization, system administration,information technology manager, it consultant, it administrator, system administrator, it specialist, network administrator, it supervisor, head of it, it engineer, it technician,B.Sc. Business Management,5
systems engineer,356274, systems engineering, vmware, disaster recovery, data center, servers, windows server, troubleshooting, active directory, vmware esx,senior systems engineer, system engineer, systems administrator, sr systems engineer, network engineer, it analyst, assistant systems engineer, systems engineer trainee, system administrator, lead systems engineer,B.Sc. Computer Science,2
area manager,346605, business plan, vendite, sales management, trattative, strategia di marketing, strategia d'impresa, recruiting, retail, sales operations,regional manager, district manager, area sales manager, branch manager, store manager, senior area manager, sales manager, operations manager, responsabile commerciale, general manager,B.Sc. Business Management,5
electrical engineer,338623, electricians, power distribution, power systems, plc, electronics, commissioning, electrical design, instrumentation, transformer,senior electrical engineer, electrical design engineer, electrical project engineer, electrical engineering intern, sr electrical engineer, electrical site engineer, lead electrical engineer, electrical designer, electrical supervisor, electrical maintenance engineer,B.Sc. Computer Science,2
network engineer,338231, networking, switches, network security, ccna, network administration, firewalls, routers, troubleshooting, vpn,senior network engineer, network administrator, sr network engineer, network analyst, network support engineer, network consultant, network specialist, technical support engineer, network security engineer, network technician,B.Sc. Computer Science,2
substitute teacher,335441, community outreach, tutoring, public speaking, higher education, classroom, lesson planning, elementary education, classroom management, event planning,student teacher, teacher, long term substitute teacher, paraprofessional, special education paraprofessional, instructional assistant, special education teacher, teacher assistant, tutor, preschool teacher,B.Ed,3
service manager,329154, service management, parts, automotive aftermarket, automotive repair, customer satisfaction, vehicles, automotive, dealer management, automobile,service advisor, service director, service technician, assistant service manager, service engineer, service supervisor, aftersales manager, parts manager, regional service manager, service consultant,B.Sc. Business Management,5
creative director,324988, creative strategy, art direction, concept development, brand development, interactive advertising, corporate branding, interaction design, corporate identity, graphic design,art director, associate creative director, graphic designer, executive creative director, senior art director, design director, creative, designer, copywriter, creative consultant,MBA,10
sales engineer,319511, manufacturing, engineering, automation, product development, valves, motion control, industrial control, key account management, electronics,senior sales engineer, technical sales engineer, sales manager, sr sales engineer, application engineer, field sales engineer, solutions engineer, inside sales engineer, regional sales engineer, applications engineer,B.Sc. Computer Science,2
regional manager,319258, sales operations, business development, sales, key account management, recruiting, management, forecasting, new business development, operations management,area manager, district manager, regional sales manager, regional director, branch manager, senior regional manager, sales manager, regional vice president, general manager, zonal manager,B.Sc. Business Management,5
doctor,317047, medical education, internal medicine, emergency medicine, clinical research, surgery, family medicine, healthcare management, public health, board certified,medical officer, medical doctor, general practitioner, resident doctor, physician, doctor of medicine, senior resident, surgeon, foundation doctor, resident medical officer,M.D.,8
senior account manager,316915, digital marketing, integrated marketing, digital strategy, solution selling, crm, digital media, marketing communications, business development, managed services,account manager, account director, account executive, sr account manager, senior account executive, business development manager, senior account director, sales manager, freelance senior account manager, key account manager,B.Sc. Business Management,5
property manager,308099, leases, lease administration, apartments, tenant, yardi, rentals, fair housing, landlords, lease negotiations,assistant property manager, senior property manager, community manager, leasing consultant, regional property manager, property management, leasing manager, commercial property manager, asset manager, leasing agent,B.Sc. Business Management,5
area sales manager,306600, fmcg, distributed team management, sales operations, sales management, key account development, competitive analysis, business development, trade marketing, sales,sales manager, regional sales manager, area manager, sales officer, territory sales manager, area sales executive, zonal sales manager, business development manager, area business manager, senior area sales manager,B.Sc. Business Management,5
art director,299823, creative direction, creative strategy, concept development, corporate identity, graphic design, interaction design, typography, logo design, art,graphic designer, creative director, senior art director, freelance art director, junior art director, designer, associate creative director, sr art director, senior designer, assistant art director,MBA,10
sales director,299639, business development, key account management, international sales, b2b, solution selling, direct sales, account management, new business development, sales,sales manager, sales and marketing director, regional sales director, commercial director, director of sales, sales & marketing director, business development manager, regional sales manager, senior sales director, head of sales,MBA,10
information technology manager,299367, it management, active directory, windows server, information technology, troubleshooting, microsoft exchange, servers, network administration, system administration,it manager, manager or supervisor, director of information technology, information technology, information systems manager, manager of information technology, it director, network administrator, information technology director, systems administrator,B.Sc. Business Management,5
territory manager,299327, medical devices, capital equipment, product launch, market development, operating room, surgeons, pharmaceutical sales, disposables, cardiology,territory sales manager, senior territory manager, sales representative, regional sales manager, district sales manager, territory business manager, territory sales representative, account manager, territory representative, sales manager,B.Sc. Business Management,5
purchasing manager,299231, purchasing, supply management, global sourcing, purchase management, supply chain management, materials management, supplier development, mrp, supply chain,purchasing agent, purchase agent, purchasing, procurement manager, buyer, supply chain manager, materials manager, director of purchasing, purchasing director, purchasing supervisor,B.Sc. Business Management,5
district manager,296442, district management, multi unit management, profit, income statement, inventory management, p&l, p&l management, hiring, retail,district sales manager, store manager, regional manager, area manager, senior district manager, associate district manager, general manager, market manager, assistant district manager, regional director,B.Sc. Business Management,5
associate director,289208, valuation, corporate real estate, financial modeling, investment banking, feasibility studies, pharmaceutical industry, corporate finance, capital markets, due diligence,director, senior associate director, associate, assistant director, research manager, senior manager, assoc director, consultant, manager, executive director,MBA,10
customer service manager,285999, customer satisfaction, customer experience, customer service, call centers, team leadership, inventory management, call center, process improvement, management,customer service supervisor, customer service representative, customer care manager, assistant customer service manager, customer service, director of customer service, customer services manager, customer service team leader, head of customer service, senior customer service manager,B.Sc. Business Management,5
civil engineer,283469, structural engineering, drainage, concrete, highways, autocad, road, structural analysis, geotechnical engineering, sap2000,site engineer, senior civil engineer, site civil engineer, structural engineer, civil structural engineer, civil engineering intern, graduate civil engineer, project engineer, junior civil engineer, assistant civil engineer,B.Sc. Computer Science,2
process engineer,279588, chemical engineering, process simulation, aspen hysys, p&id, lean manufacturing, process optimization, process control, hazop, design of experiments,senior process engineer, manufacturing engineer, production engineer, sr process engineer, lead process engineer, chemical engineer, process development engineer, process engineering intern, principal process engineer, process engineering manager,B.Sc. Computer Science,2
accounting manager,265912, sarbanes oxley act, accounting, general ledger, gaap, internal controls, variance analysis, forecasting, financial analysis, accounts payable,controller, accounting supervisor, senior accountant, staff accountant, accountant, assistant controller, senior accounting manager, finance manager, director of accounting, accounting,B.Sc. Business Management,5
director of sales,260218, convention services, revenue analysis, selling, sales operations, yield management, sales management, strategic partnerships, hotels, hotel management,director of sales and marketing, vice president of sales, sales manager, director of sales & marketing, regional sales manager, director of business development, assistant director of sales, regional director of sales, national sales manager, associate director of sales,MBA,10
relationship manager,248171, banking, credit risk, commercial banking, portfolio management, retail banking, credit analysis, trade finance, credit, cross selling,senior relationship manager, relationship officer, assistant relationship manager, personal banker, credit analyst, corporate relationship manager, sr relationship manager, associate relationship manager, relationship executive, business relationship manager,B.Sc. Business Management,5
plant manager,242023, kaizen, continuous improvement, manufacturing operations management, 5s, value stream mapping, manufacturing, tpm, plant management, root cause analysis,facilities/plant director, production manager, manufacturing manager, assistant plant manager, director of manufacturing, operations manager, plant superintendent, plant supervisor, plant operations manager, production supervisor,B.Sc. Business Management,5
assistant director,234765, assistant directing, community outreach, program development, nonprofits, fundraising, student affairs, higher education, film production, student development,director, senior assistant director, deputy director, asst director, center director, 1st assistant director, 2nd assistant director, assitant director, centre director, associate director,MBA,10
assistant store manager,231976, merchandising, visual merchandising, retail, inventory management, retail sales, loss prevention, store operations, inventory control, customer satisfaction,store manager, department manager, retail sales consultant, assistant manager, sales associate, retail store manager, department supervisor, shift supervisor, store supervisor, merchandise manager,B.Sc. Business Management,5
case manager,223908, case managment, social services, crisis intervention, mental health, motivational interviewing, adolescents, group therapy, mental health counseling, behavioral health,social worker, senior case manager, care coordinator, care manager, therapist, case manager ii, employment specialist, residential counselor, clinical case manager, case worker,B.Sc. Business Management,5
engineering manager,221907, lean manufacturing, manufacturing, engineering, continuous improvement, fmea, root cause analysis, manufacturing engineering, design for manufacturing, kaizen,director of engineering, senior engineering manager, engineering supervisor, engineering director, sr engineering manager, design engineer, engineer, manufacturing engineer, chief engineer, product engineer,B.Sc. Computer Science,2
director of marketing,221878, integrated marketing, marketing communications, direct marketing, product marketing, digital marketing, lead generation, marketing, advertising, social media marketing,marketing manager, vice president of marketing, marketing director, senior director of marketing, chief marketing officer, vp of marketing, director marketing, vice president marketing, director of marketing and communications, vp marketing,MBA,10
technical manager,221010, manufacturing, food science, coatings, polymers, continuous improvement, engineering, r&d, haccp, food manufacturing,technical director, senior technical manager, technical supervisor, assistant technical manager, tech manager, project manager, technical engineer, production manager, head of technical, technical consultant,B.Sc. Business Management,5
it director,217775, it management, it operations, it strategy, data center, information technology, virtualization, active directory, cloud computing, windows server,cto, information technology director, it manager, director of information technology, cio it directors, information technology manager, chief information officer, director - information technology, chief technology officer, cio,MBA,10
program director,216710, community outreach, nonprofits, program evaluation, youth development, grant writing, volunteer management, fundraising, social services, mental health,program coordinator, assistant program director, senior program director, program manager, clinical director, executive director, program supervisor, clinical supervisor, case manager, associate program director,MBA,10
police officer,203895, criminal investigations, law enforcement, criminal justice, firearms, public safety, patrol, crime prevention, enforcement, investigation,deputy sheriff, police sergeant, sergeant, detective, investigator, police detective, chief of police, security officer, police lieutenant, special agent,None or Specialized Training,2
research intern,203783, research, data analysis, machine learning, latex, python, r, statistics, computer vision, algorithms,research assistant, intern, summer research intern, undergraduate researcher, graduate research assistant, phd student, teaching assistant, summer intern, researcher, undergraduate research assistant,Enrolled in Bachelor's program,0
sales coordinator,201734, sales, hotels, hospitality industry, hospitality, hotel management, front office, hospitality management, customer service, tourism,sales chief operating officerrdinator, senior sales coordinator, sales and marketing coordinator, sales co-ordinator, sales administrator, front desk agent, sales manager, sales support coordinator, sales assistant, sales executive,B.Sc. Marketing,3
medical doctor,201196, medical education, internal medicine, emergency medicine, clinical research, public health, medical research, surgery, family medicine, healthcare,general medical, doctor, medical officer, doctor of medicine, general practitioner, physician, medical intern, resident doctor, medical director, radiology,M.D.,8
marketing specialist,197269, email marketing, market research, digital marketing, social media marketing, marketing, google analytics, advertising, public relations, marketing strategy,marketing manager, senior marketing specialist, marketing coordinator, marketing assistant, marketing communications specialist, digital marketing specialist, marketing intern, marketing associate, marketing analyst, junior marketing specialist,B.Sc. Marketing,3
sales rep,196563, direct sales, sales management, cold calling, sales, selling, account management, sales process, sales presentations, medical devices,sales representative, sales, senior sales rep, sale rep, sales manager, territory manager, outside sales rep, sales consultant, account manager, independent sales rep,B.Sc. Marketing,3
deputy manager,194753, mis, management information systems mis, banking, relationship management, core banking, market research, bpo, vendor management, business development,assistant manager, asst manager, manager, relationship manager, senior executive, registered manager, management trainee, team leader, officer, deputy manager operations,B.Sc. Business Management,5
quality engineer,194483, root cause analysis, spc, kaizen, supplier quality, ppap, 5s, quality system, lean manufacturing, apqp,quality manager, senior quality engineer, supplier quality engineer, sr quality engineer, quality technician, manufacturing engineer, quality supervisor, quality assurance engineer, quality inspector, customer quality engineer,B.Sc. Computer Science,2
quality manager,193727, quality system, iso, supplier quality, quality auditing, root cause analysis, spc, iso 9000, fmea, kaizen,quality engineer, quality assurance manager, quality supervisor, director of quality, quality director, quality control manager, quality coordinator, senior quality manager, quality specialist, senior quality engineer,B.Sc. Business Management,5
legal intern,186250, legal writing, westlaw, lexisnexis, lexis, international law, legal assistance, criminal law, litigation, corporate law,law clerk, legal extern, judicial intern, associate attorney, summer legal intern, student attorney, summer associate, associate, intern, certified legal intern,Enrolled in Bachelor's program,0
special education teacher,185374, learning disabilities, iep, behavior management, autism spectrum disorders, applied behavior analysis, differentiated instruction, behavior modification, positive behavior support, classroom management,teacher, special educator, special education coordinator, special education, special ed teacher, special education paraprofessional, substitute teacher, behavior specialist, director of special education, learning specialist,B.Ed,3
account director,184155, digital strategy, digital marketing, relationship marketing, digital media, mobile marketing, marketing communications, direct marketing, interactive marketing, corporate communications,senior account director, group account director, account manager, account supervisor, senior account manager, business director, client services director, account executive, client service director, associate account director,MBA,10
brand manager,182176, fmcg, trade marketing, customer insight, shopper marketing, marketing management, brand equity, consumer products, market research, market planning,senior brand manager, assistant brand manager, marketing manager, junior brand manager, associate brand manager, group brand manager, brand executive, product manager, trade marketing manager, sr brand manager,B.Sc. Business Management,5
site engineer,178542, concrete, earthworks, autocad, structural engineering, highways, road, drainage, construction, bridge,civil engineer, site civil engineer, senior site engineer, project engineer, section engineer, planning engineer, technical office engineer, site supervisor, qa/qc engineer, junior engineer,B.Sc. Computer Science,2
senior software developer,175985, software development, net, xml, asp.net, microsoft sql server, asp.net mvc, web services, javascript, jquery,software developer, senior developer, software engineer, lead software developer, senior software engineer, developer, principal software developer, sr software developer, junior software developer, software architect,B.Sc. Computer Science,2
inside sales,173523, purchasing, pricing, sales operations, account management, outside sales, sales, inventory management, sales management, direct sales,inside sales representative, inside sales manager, outside sales, position in inside sales, inside sales specialist, counter sales, inside sales coordinator, sales, inside sales associate, outside sales representative,B.Sc. Marketing,3
director of business development,172863, strategic partnerships, strategy, development, lead generation, new business development, crm, selling, leadership, competitive analysis,director business development, director business development, vice president of business development, business development manager, business development, senior director of business development, vp of business development, director of marketing and business development, director of sales, business development director,MBA,10
technical support engineer,171386, troubleshooting, technical support engineer, networking, windows server, active directory, tcp/ip, servers, software installation, hardware,senior technical support engineer, technical support, support engineer, customer support engineer, technical support analyst, technical support specialist, technical support manager, system administrator, it support engineer, sr technical support engineer,B.Sc. Computer Science,2
community manager,170137, redes sociales, marketing digital, mercadotecnia en medios sociales, comunicaciones de marketing, publicidad en internet, blogs, publicidad, marketing en internet, medios sociales,social media manager, assistant community manager, senior community manager, property manager, periodista, redactora, redactor, content manager, community director, asistente de producción,B.Sc. Business Management,5
